district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Scott,Griggs,male,white-american,,2011-06-20,2017-06-19,councilor,nonpartisan,scott.griggs@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FN, Dallas, Texas 75201",https://twitter.com/scottgriggsdal,https://www.facebook.com/ScottGriggsDallas,
2,no,Adam,Medrano,male,african-american,,2013-05-11,2017-06-19,councilor,nonpartisan,adam.medrano@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FN, Dallas, Texas 75201",https://twitter.com/VoteAdamMedrano,https://www.facebook.com/VoteAdamMedrano,
3,no,Casey,Thomas,male,african-american,,2015-06-15,2017-06-19,councilor,nonpartisan,richard.soto@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FS, Dallas, Texas 75201",https://twitter.com/caseyt07,https://www.facebook.com/Casey-Thomas-II-1600383893550551/,
4,no,Dwaine,Caraway,male,african-american,,2007-05-09,2017-06-19,mayor-pro-tem,nonpartisan,District4@DallasCityHall.com,214-670-6931,"1500 Marilla St. Room 5FS, Dallas, Texas 75201",,,
5,no,Rickey,Callahan,male,white-american,,2013-06-17,2017-06-19,councilor,nonpartisan,rick.callahan@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FS, Dallas, Texas 75201",,,
6,no,Omar,Narvaez,male,unspecified,,2017-06-19,2017-06-19,councilor,nonpartisan,rick.callahan@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5DN, Dallas, Texas 75201",,,
7,no,Kevin,Felder,male,african-american,,2015-06-15,2017-06-19,councilor,nonpartisan,district7@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FN, Dallas, Texas 75201",,,
8,no,Tennell,Atkins,male,african-american,,2015-06-15,2017-06-19,councilor,nonpartisan,maria.salazar2@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FS, Dallas, Texas 75201",,,
9,no,Mark,Clayton,male,white-american,,2015-06-15,2017-06-19,councilor,nonpartisan,mark.clayton@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FN, Dallas, Texas 75201",https://twitter.com/VoteMarkClayton,,
10,no,Adam,McGeogh,male,white-american,,2015-06-15,2017-06-19,councilor,nonpartisan,adam.mcgough@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FS, Dallas, Texas 75201",https://twitter.com/ServeDallas,https://www.facebook.com/AdamMcGoughD10/,
11,no,Lee,Kleinman,male,white-american,,2013-06-17,2017-06-19,councilor,nonpartisan,sophia.figueroa@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FS, Dallas, Texas 75201",https://twitter.com/LeeforDallas,,
12,no,Sandy,Greyson,female,white-american,,2011-06-20,2017-06-19,councilor,nonpartisan,sandy.greyson@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FN, Dallas, Texas 75201",,https://www.facebook.com/Sandy-Greyson-149109085159961,
13,no,Jennifer,Gates,female,white-american,,2013-06-17,2017-06-19,councilor,nonpartisan,carolyn.williamson@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FS, Dallas, Texas 75201",https://twitter.com/cmjsgates,https://www.facebook.com/JenniferStaubachGates/,
14,no,Philip,Kingston,male,white-american,,2013-06-17,2017-06-19,councilor,nonpartisan,Philip.Kingston@dallascityhall.com,214-670-6931,"1500 Marilla St. Room 5FN, Dallas, Texas 75201",https://twitter.com/PhilipTKingston,,
,yes,Mike,Rawlings,male,white-american,1954-08-25,2011-06-27,2019-06-17,mayor,democrat,,214-670-6931,"Dallas City Hall, 1500 Marilla St. Suite 5EN, Dallas, Texas 75201",https://twitter.com/Mike_Rawlings,https://www.facebook.com/MayorMikeRawlings/,
